iter	Passed	Remaining
417	2538	3534
418	2544	3528
419	2549	3520
420	2554	3512
421	2559	3506
422	2564	3498
423	2569	3490
424	2575	3483
425	2580	3476
426	2585	3469
427	2590	3462
428	2595	3454
429	2608	3457
430	2613	3449
431	2617	3441
432	2623	3434
433	2628	3427
434	2632	3419
435	2638	3413
436	2643	3405
437	2648	3398
438	2654	3391
439	2659	3385
440	2664	3377
441	2669	3369
442	2674	3362
443	2679	3355
444	2684	3348
445	2689	3341
446	2694	3333
447	2700	3327
448	2705	3319
449	2710	3312
450	2715	3305
451	2720	3298
452	2725	3291
453	2731	3284
454	2736	3277
455	2741	3270
456	2746	3263
457	2751	3256
458	2756	3249
459	2762	3243
460	2767	3235
461	2772	3228
462	2777	3221
463	2782	3214
464	2788	3207
465	2793	3201
466	2797	3193
467	2803	3186
468	2809	3180
469	2814	3173
470	2819	3166
471	2825	3160
472	2830	3153
473	2835	3146
474	2841	3140
475	2846	3133
476	2851	3126
477	2857	3120
478	2862	3113
479	2867	3106
480	2872	3099
481	2877	3092
482	2882	3085
483	2888	3079
484	2894	3073
485	2899	3066
486	2904	3059
487	2910	3053
488	2915	3047
489	2921	3040
490	2930	3038
491	2936	3032
492	2943	3026
493	2948	3020
494	2953	3013
495	2959	3007
496	2964	3000
497	2969	2993
498	2975	2986
499	2980	2980
500	2985	2973
501	2990	2966
502	2996	2960
503	3001	2953
504	3006	2946
505	3012	2940
506	3016	2933
507	3021	2926
508	3026	2919
509	3031	2912
510	3037	2906
511	3042	2899
512	3046	2892
513	3052	2886
514	3057	2879
515	3062	2872
516	3067	2865
517	3072	2858
518	3077	2851
519	3083	2845
520	3088	2839
521	3093	2832
522	3099	2826
523	3104	2820
524	3109	2813
525	3115	2807
526	3120	2800
527	3125	2793
528	3130	2787
529	3135	2780
530	3139	2773
531	3145	2767
532	3150	2760
533	3155	2753
534	3161	2747
535	3166	2740
536	3171	2734
537	3184	2735
538	3189	2727
539	3194	2721
540	3200	2714
541	3207	2710
542	3217	2708
543	3227	2705
544	3240	2705
545	3247	2700
546	3253	2694
547	3261	2689
548	3267	2684
549	3272	2677
550	3277	2670
551	3282	2663
552	3287	2657
553	3292	2650
554	3297	2644
555	3303	2637
556	3308	2631
557	3314	2625
558	3318	2618
559	3324	2611
560	3329	2605
561	3334	2598
562	3340	2592
563	3345	2586
564	3350	2579
565	3355	2573
566	3361	2566
567	3366	2560
568	3371	2553
569	3376	2547
570	3381	2540
571	3387	2534
572	3392	2527
573	3396	2520
574	3402	2514
575	3407	2508
576	3412	2501
577	3417	2495
578	3422	2488
579	3427	2481
580	3432	2475
581	3437	2468
582	3442	2462
583	3448	2456
584	3453	2449
585	3457	2443
586	3463	2436
587	3467	2429
588	3473	2423
589	3478	2417
590	3483	2410
591	3488	2404
592	3494	2398
593	3499	2391
594	3504	2385
595	3509	2379
596	3514	2372
597	3520	2366
598	3525	2360
599	3530	2353
600	3535	2347
601	3541	2341
602	3545	2334
603	3550	2327
604	3555	2321
605	3560	2314
606	3565	2308
607	3571	2302
608	3575	2295
609	3581	2289
610	3586	2283
611	3591	2276
612	3596	2270
613	3601	2264
614	3606	2257
615	3612	2251
616	3616	2245
617	3621	2238
618	3627	2232
619	3632	2226
620	3637	2219
621	3642	2213
622	3648	2207
623	3652	2200
624	3658	2194
625	3663	2188
626	3668	2182
627	3673	2176
628	3679	2170
629	3684	2163
630	3689	2157
631	3694	2151
632	3699	2145
633	3705	2139
634	3711	2133
635	3716	2126
636	3721	2120
637	3726	2114
638	3730	2107
639	3736	2101
640	3741	2095
641	3745	2088
642	3751	2082
643	3756	2076
644	3766	2072
645	3771	2066
646	3776	2060
647	3783	2055
648	3788	2049
649	3794	2043
650	3800	2037
651	3806	2031
652	3812	2025
653	3817	2019
654	3823	2013
655	3829	2008
656	3834	2002
657	3840	1995
658	3846	1990
659	3851	1984
660	3856	1977
661	3862	1971
662	3867	1966
663	3872	1959
664	3878	1953
665	3884	1948
666	3890	1942
667	3896	1936
668	3901	1930
669	3908	1924
670	3914	1919
671	3919	1913
672	3925	1907
673	3932	1901
674	3938	1896
675	3944	1890
676	3949	1884
677	3955	1878
678	3962	1873
679	3967	1867
680	3973	1861
681	3979	1855
682	3986	1850
683	3993	1844
684	3999	1838
685	4004	1832
686	4010	1827
687	4017	1821
688	4023	1816
689	4028	1810
690	4034	1804
691	4041	1798
692	4048	1793
693	4055	1788
694	4060	1782
695	4066	1776
696	4072	1770
697	4079	1765
698	4085	1759
699	4091	1753
700	4097	1747
701	4103	1742
702	4110	1736
703	4116	1730
704	4122	1724
705	4128	1719
706	4135	1714
707	4142	1708
708	4148	1702
709	4155	1697
710	4161	1691
711	4168	1686
712	4175	1680
713	4181	1674
714	4188	1669
715	4193	1663
716	4200	1657
717	4207	1652
718	4214	1647
719	4222	1642
720	4229	1636
721	4236	1631
722	4243	1625
723	4250	1620
724	4256	1614
725	4262	1608
726	4270	1603
727	4276	1597
728	4283	1592
729	4290	1586
730	4296	1580
731	4302	1575
732	4308	1569
733	4314	1563
734	4324	1559
735	4330	1553
736	4337	1547
737	4343	1541
738	4349	1536
739	4355	1530
740	4361	1524
741	4368	1519
742	4374	1513
743	4380	1507
744	4387	1501
745	4393	1495
746	4400	1490
747	4406	1484
748	4411	1478
749	4418	1472
750	4425	1467
751	4432	1461
752	4440	1456
753	4447	1451
754	4454	1445
755	4460	1439
756	4466	1433
757	4473	1428
758	4480	1422
759	4487	1417
760	4494	1411
761	4499	1405
762	4505	1399
763	4512	1393
764	4519	1388
765	4526	1382
766	4533	1377
767	4540	1371
768	4546	1365
769	4552	1359
770	4559	1354
771	4567	1348
772	4574	1343
773	4581	1337
774	4588	1332
775	4595	1326
776	4600	1320
777	4607	1314
778	4614	1309
779	4620	1303
780	4626	1297
781	4633	1291
782	4639	1285
783	4645	1279
784	4652	1274
785	4658	1268
786	4664	1262
787	4670	1256
788	4677	1250
789	4683	1245
790	4690	1239
791	4696	1233
792	4703	1227
793	4709	1221
794	4715	1215
795	4722	1210
796	4729	1204
797	4735	1198
798	4742	1192
799	4748	1187
800	4754	1181
801	4761	1175
802	4767	1169
803	4774	1164
804	4781	1158
805	4787	1152
806	4794	1146
807	4804	1141
808	4810	1135
809	4827	1132
810	4844	1129
811	4861	1125
812	4869	1120
813	4878	1114
814	4890	1110
815	4897	1104
816	4904	1098
817	4912	1092
818	4919	1087
819	4926	1081
820	4933	1075
821	4941	1069
822	4948	1064
823	4953	1058
824	4959	1052
825	4966	1046
826	4974	1040
827	4980	1034
828	4988	1028
829	4995	1023
830	5001	1017
831	5007	1011
832	5013	1005
833	5020	999
834	5027	993
835	5034	987
836	5040	981
837	5046	975
838	5052	969
839	5060	963
840	5068	958
841	5075	952
842	5082	946
843	5090	940
844	5097	935
845	5106	929
846	5113	923
847	5121	917
848	5129	912
849	5136	906
850	5144	900
851	5151	894
852	5157	888
853	5163	882
854	5170	876
855	5177	870
856	5184	865
857	5190	859
858	5195	852
859	5202	846
860	5220	842
861	5236	838
862	5247	833
863	5255	827
864	5266	821
865	5272	815
866	5279	809
867	5286	803
868	5292	797
869	5299	791
870	5305	785
871	5311	779
872	5318	773
873	5325	767
874	5331	761
875	5337	755
876	5343	749
877	5350	743
878	5357	737
879	5364	731
880	5371	725
881	5377	719
882	5383	713
883	5390	707
884	5396	701
885	5403	695
886	5410	689
887	5417	683
888	5423	677
889	5429	671
890	5436	665
891	5443	659
