iter	RMSE
398	0.2236458035
399	0.2235895225
400	0.2235576669
401	0.2235263989
402	0.2234813589
403	0.2234262385
404	0.2233974868
405	0.2233680822
406	0.2233525334
407	0.223300132
408	0.2232653727
409	0.2232393437
410	0.2231944945
411	0.2231617881
412	0.2231463909
413	0.2231273974
414	0.2230856714
415	0.2230542618
416	0.2230220903
417	0.2230103905
418	0.222970336
419	0.2229493839
420	0.2229243587
421	0.2228831352
422	0.2228634874
423	0.2228250747
424	0.22278283
425	0.2227450415
426	0.2227184062
427	0.2226883367
428	0.222648162
429	0.2226256357
430	0.2225862321
431	0.2225304702
432	0.2225072503
433	0.2224809107
434	0.2224362824
435	0.2224019569
436	0.2223663234
437	0.2223410817
438	0.2223121918
439	0.2222761381
440	0.2222408559
441	0.2222172697
442	0.2221929484
443	0.2221613975
444	0.2221358567
445	0.2221017358
446	0.2220776087
447	0.2220403208
448	0.222003377
449	0.221979658
450	0.2219551407
451	0.2219358269
452	0.2219119599
453	0.22188868
454	0.2218447977
455	0.2218166645
456	0.2218015616
457	0.2217723466
458	0.2217494313
459	0.2217263949
460	0.2217031503
461	0.2216800633
462	0.221650701
463	0.221630662
464	0.2216116347
465	0.2215764157
466	0.2215588393
467	0.2215234886
468	0.2214983458
469	0.221459603
470	0.2214436903
471	0.2214077545
472	0.2213665575
473	0.2213437018
474	0.2213164054
475	0.2212763242
476	0.2212334689
477	0.2211961261
478	0.2211655216
479	0.2211363181
480	0.221101912
481	0.2210661625
482	0.2210255649
483	0.2210086556
484	0.2209752524
485	0.2209348859
486	0.2208954179
487	0.2208576353
488	0.2208249181
489	0.2207793918
490	0.2207490591
491	0.2207230737
492	0.2207009568
493	0.2206712275
494	0.2206485775
495	0.2206120658
496	0.2205832442
497	0.2205564472
498	0.2205228534
499	0.22048222
500	0.2204528329
501	0.2204157164
502	0.220384822
503	0.220348755
504	0.2203116633
505	0.2202922022
506	0.2202691213
507	0.2202442164
508	0.2201995886
509	0.2201571934
510	0.2201267889
511	0.2200825984
512	0.2200451955
513	0.2200254004
514	0.219984616
515	0.2199688796
516	0.2199449303
517	0.2199211177
518	0.2198739143
519	0.2198228438
520	0.21979852
521	0.2197706029
522	0.2197226836
523	0.2197010691
524	0.2196659544
525	0.2196434014
526	0.2196013355
527	0.2195782484
528	0.2195495658
529	0.2195277098
530	0.2195093287
531	0.2194819269
532	0.2194584643
533	0.2194228499
534	0.2194002181
535	0.2193661899
536	0.2193183424
537	0.2192977645
538	0.219279959
539	0.2192397487
540	0.2192041667
541	0.2191733452
542	0.2191526004
543	0.2191141917
544	0.2190641773
545	0.2190411142
546	0.2189989913
547	0.2189656422
548	0.2189332037
549	0.21890982
550	0.2188897363
551	0.2188659797
552	0.2188461037
553	0.2188202736
554	0.2187670858
555	0.2187229564
556	0.2186992607
557	0.2186566933
558	0.2186407942
559	0.2185958062
560	0.2185767905
561	0.2185414354
562	0.218525611
563	0.218495505
564	0.218469046
565	0.2184491286
566	0.2184283753
567	0.2183894955
568	0.2183672687
569	0.2183307499
570	0.2182978185
571	0.218255834
572	0.218231609
573	0.2182049751
574	0.2181773502
575	0.2181343448
576	0.2181133948
577	0.2180823629
578	0.2180468652
579	0.2180180073
580	0.2179997536
581	0.217978674
582	0.2179461386
583	0.2179183207
584	0.2178931965
585	0.2178692129
586	0.2178357448
587	0.2177938443
588	0.2177632081
589	0.2177384304
590	0.21771313
591	0.2176715795
592	0.2176150226
593	0.2175862612
594	0.2175583614
595	0.2175396547
596	0.2175124999
597	0.2174765935
598	0.2174365896
599	0.2174185816
600	0.2173824468
601	0.2173564513
602	0.2173331101
603	0.2173227248
604	0.2172832426
605	0.2172583121
606	0.2172342385
607	0.2172183251
608	0.2171764351
609	0.217149833
610	0.2171184854
611	0.2171050465
612	0.217071359
613	0.2170310485
614	0.2170082522
615	0.2169936596
616	0.2169645596
617	0.2169456678
618	0.2169073621
619	0.2168830078
620	0.2168509971
621	0.2168258093
622	0.2167901368
623	0.2167677776
624	0.2167356031
625	0.2167129135
626	0.216689175
627	0.2166617516
628	0.2166350773
629	0.2166181886
630	0.2166038764
631	0.2165674299
632	0.2165293707
633	0.2165042656
634	0.2164791714
635	0.2164377658
636	0.2164058609
637	0.2163834164
638	0.2163494975
639	0.2163075574
640	0.216268559
641	0.2162395316
642	0.2162235075
643	0.2161879199
644	0.2161569316
645	0.2161264938
646	0.2160992134
647	0.2160662609
648	0.2160341914
649	0.2159833364
650	0.2159545092
651	0.2159105541
652	0.2158842606
653	0.2158476168
654	0.2158290051
655	0.2157942654
656	0.2157591039
657	0.2157307901
658	0.2157098385
659	0.2156921894
660	0.215674151
661	0.2156504442
662	0.215629679
663	0.2156013033
664	0.2155630568
665	0.2155452282
666	0.2155105946
667	0.2154775776
668	0.2154425587
669	0.2154232698
670	0.215399857
671	0.215373026
672	0.2153508239
673	0.2153140069
674	0.215273654
675	0.2152290526
676	0.2152084341
677	0.2151801534
678	0.215137623
679	0.2151150115
680	0.2150759941
681	0.2150491878
682	0.2150255277
683	0.2149878195
684	0.2149516233
685	0.2149375832
686	0.214918602
687	0.2148845478
688	0.2148561108
689	0.214836974
690	0.2147933207
691	0.2147585439
692	0.214721111
693	0.2146941035
694	0.2146770127
695	0.2146394786
696	0.2146188436
697	0.2145878317
698	0.2145500862
699	0.2145289538
700	0.2145131036
701	0.2144707169
702	0.2144348336
703	0.2144085827
704	0.214379631
705	0.2143505991
706	0.2143258877
707	0.2142882072
708	0.2142679993
709	0.2142295907
710	0.2141945021
711	0.2141750417
712	0.2141362762
713	0.2141006278
714	0.2140862717
715	0.2140520385
716	0.214024957
717	0.2140101974
718	0.2139851615
719	0.2139545302
720	0.2139286718
721	0.2138955035
722	0.2138659303
723	0.2138291268
724	0.21380633
725	0.2137795954
726	0.2137467013
727	0.2137105806
728	0.2136813254
729	0.2136580764
730	0.2136388625
731	0.2136269785
732	0.21359401
733	0.2135754276
734	0.2135334098
735	0.2135059639
736	0.2134941785
737	0.2134622883
738	0.2134262785
739	0.2134081686
740	0.2133964193
741	0.2133677772
742	0.2133383024
743	0.2133183248
744	0.2132909653
745	0.2132519242
746	0.2132186804
747	0.2131992635
748	0.2131629987
749	0.2131439862
750	0.2131147209
751	0.2130725067
752	0.2130415844
753	0.2129932773
754	0.2129625343
755	0.2129287461
756	0.2128910541
757	0.2128605798
758	0.2128202621
759	0.2128086454
760	0.2127854166
761	0.2127747349
762	0.2127315519
763	0.2127022406
764	0.2126886723
765	0.2126500963
766	0.2126286802
767	0.2125876811
768	0.212567241
769	0.2125368578
770	0.212514235
771	0.2125025515
772	0.2124657712
773	0.2124326593
774	0.2124102507
775	0.2123846305
776	0.2123637542
777	0.2123348681
778	0.2123139907
779	0.212288797
780	0.2122637025
781	0.212248369
782	0.2122276656
783	0.212206973
784	0.2121826144
785	0.2121592652
786	0.2121276001
787	0.2120918501
788	0.2120643898
789	0.2120477214
790	0.2120249732
791	0.21199418
792	0.211958494
793	0.2119295985
794	0.2118951261
795	0.2118773529
796	0.2118517
797	0.2118252957
798	0.211800805
799	0.2117783411
800	0.2117426111
801	0.2117205796
802	0.2116829135
803	0.2116543706
804	0.2116224969
805	0.2115988979
806	0.211567688
807	0.2115200927
808	0.2115070658
809	0.2114725808
810	0.211459656
811	0.2114419345
812	0.2114160715
813	0.2113912659
814	0.2113665503
815	0.2113396556
816	0.2113111273
817	0.2112846489
818	0.2112552472
819	0.2112366378
820	0.2112175046
821	0.2111990474
822	0.2111510866
823	0.2111241256
824	0.2111045322
825	0.2110727167
826	0.2110582869
827	0.2110433697
828	0.2110063104
829	0.2109609081
830	0.2109393687
831	0.2109233692
832	0.2109087781
833	0.210870189
834	0.2108448778
835	0.2108135709
836	0.2107778601
837	0.2107584834
838	0.2107369284
839	0.210709429
840	0.2106880698
841	0.2106599278
842	0.2106320475
843	0.2106138174
844	0.210586968
845	0.2105482776
846	0.2105294095
847	0.2105088023
848	0.2104777929
849	0.2104562613
850	0.2104264755
851	0.210388575
852	0.2103677392
853	0.210335959
854	0.2103154903
855	0.2102857018
856	0.210250044
857	0.2102176981
858	0.2101993185
859	0.2101762461
860	0.2101488379
861	0.2101217349
862	0.2100822751
863	0.2100592115
864	0.2100264063
865	0.2100069857
866	0.2099931535
867	0.209975488
868	0.2099401061
869	0.2099140607
870	0.2098937422
871	0.2098807901
872	0.2098498701
873	0.2098403171
874	0.2098321016
875	0.2098003559
876	0.2097609339
877	0.2097210987
878	0.2096950388
879	0.2096623102
880	0.2096432986
881	0.2096149731
882	0.2095778292
883	0.2095694407
884	0.2095501042
885	0.2095205088
886	0.2094929631
887	0.2094684466
888	0.2094440728
889	0.2094185241
890	0.2093970645
891	0.2093770874
892	0.2093564926
893	0.2093347157
894	0.2093124607
895	0.2092870532
896	0.2092625857
897	0.2092432816
898	0.2092064814
899	0.2091927164
900	0.2091641502
901	0.2091357391
902	0.2091159824
903	0.2090976848
904	0.2090747651
905	0.2090397416
906	0.2090061398
907	0.2089877512
908	0.2089694622
909	0.2089492092
910	0.2089067863
911	0.2088935873
912	0.2088689226
913	0.2088296648
914	0.2088082767
915	0.2087847649
916	0.2087658252
917	0.2087366398
918	0.208706194
919	0.20868048
920	0.2086684096
921	0.2086570299
922	0.2086250732
923	0.2086004337
924	0.2085712562
925	0.2085538004
926	0.2085156896
927	0.2084837887
928	0.2084488633
929	0.2084284378
930	0.2084121228
931	0.2083843644
932	0.2083728511
933	0.2083506273
934	0.2083346108
935	0.2083117723
936	0.2082986587
937	0.2082787279
938	0.208253368
939	0.2082389135
940	0.2082060742
941	0.2081763826
942	0.2081407778
943	0.2081243203
944	0.2080911892
945	0.2080605775
946	0.2080442904
947	0.2080106617
948	0.207992633
949	0.2079552076
950	0.2079188606
951	0.2078787366
952	0.2078569376
953	0.207837113
954	0.2078199164
955	0.2078027224
956	0.2077850818
957	0.2077591312
958	0.2077391382
959	0.2077099018
960	0.2077015772
961	0.2076561327
962	0.2076348423
963	0.207616917
964	0.2075839321
965	0.2075559342
966	0.2075334017
967	0.2074968751
968	0.2074592834
969	0.2074371355
970	0.2074063241
971	0.2073814588
972	0.2073534493
973	0.2073264027
974	0.2072945526
975	0.2072675989
976	0.2072447355
977	0.2072273611
978	0.2072065138
979	0.2071674481
980	0.2071557811
981	0.2071258685
982	0.2070987903
983	0.2070751763
984	0.2070558974
985	0.2070296533
986	0.2070151291
987	0.2069866866
988	0.2069671491
989	0.2069506812
990	0.2069216879
991	0.2068826121
992	0.2068660002
993	0.2068315873
994	0.2067870384
995	0.206759137
996	0.2067427182
997	0.2067158283
998	0.2066944441
999	0.2066627246
